コンテンツ,プラットフォーム,支払年月
aiga,rakuten,-3
aiga,excite,-3
aiga,ameba,-4
aiga,mediba,-4
aiga,line,
aiga,docomo,
aiga,softbank,
aiga,au,
aizuki,rakuten,-3
aizuki,excite,
aizuki,ameba,-4
aizuki,mediba,-4
aizuki,line,
aizuki,docomo,
aizuki,softbank,
aizuki,au,
amano,rakuten,
amano,excite,
amano,ameba,
amano,mediba,
amano,line,-3
amano,docomo,
amano,softbank,
amano,au,
aoki,rakuten,-3
aoki,excite,-3
aoki,ameba,-4
aoki,mediba,-4
aoki,line,-4
aoki,docomo,
aoki,softbank,
aoki,au,
aqua,rakuten,-3
aqua,excite,-3
aqua,ameba,-4
aqua,mediba,-4
aqua,line,
aqua,docomo,
aqua,softbank,
aqua,au,
aron,rakuten,-3
aron,excite,-3
aron,ameba,-4
aron,mediba,-4
aron,line,
aron,docomo,
aron,softbank,
aron,au,
aron-motoduka,rakuten,-3
aron-motoduka,excite,-3
aron-motoduka,ameba,-4
aron-motoduka,mediba,-4
aron-motoduka,line,
aron-motoduka,docomo,
aron-motoduka,softbank,
aron-motoduka,au,
asuru,rakuten,-3
asuru,excite,-3
asuru,ameba,-4
asuru,mediba,-4
asuru,line,
asuru,docomo,
asuru,softbank,
asuru,au,
chazz,rakuten,-3
chazz,excite,-3
chazz,ameba,-4
chazz,mediba,-4
chazz,line,
chazz,docomo,
chazz,softbank,
chazz,au,
chigumi,rakuten,-3
chigumi,excite,-3
chigumi,ameba,-4
chigumi,mediba,-4
chigumi,line,
chigumi,docomo,
chigumi,softbank,
chigumi,au,
chiharu,rakuten,-3
chiharu,excite,-3
chiharu,ameba,-4
chiharu,mediba,-4
chiharu,line,
chiharu,docomo,
chiharu,softbank,
chiharu,au,
chiki,rakuten,-2
chiki,excite,
chiki,ameba,-2
chiki,mediba,-2
chiki,line,
chiki,docomo,
chiki,softbank,
chiki,au,
dyg,rakuten,-2
dyg,excite,
dyg,ameba,-2
dyg,mediba,-2
dyg,line,
dyg,docomo,
dyg,softbank,
dyg,au,
ensei,rakuten,-3
ensei,excite,-3
ensei,ameba,-4
ensei,mediba,-4
ensei,line,
ensei,docomo,
ensei,softbank,
ensei,au,
ensei-motoduka,rakuten,-3
ensei-motoduka,excite,-3
ensei-motoduka,ameba,-4
ensei-motoduka,mediba,-4
ensei-motoduka,line,
ensei-motoduka,docomo,
ensei-motoduka,softbank,
ensei-motoduka,au,
epc,rakuten,-3
epc,excite,-3
epc,ameba,-4
epc,mediba,-4
epc,line,-3
epc,docomo,
epc,softbank,
epc,au,
etenmei,rakuten,-3
etenmei,excite,
etenmei,ameba,-4
etenmei,mediba,-4
etenmei,line,
etenmei,docomo,
etenmei,softbank,
etenmei,au,
fujita,rakuten,-3
fujita,excite,-3
fujita,ameba,-4
fujita,mediba,-4
fujita,line,
fujita,docomo,
fujita,softbank,
fujita,au,
fujita-kairon,rakuten,-3
fujita-kairon,excite,-3
fujita-kairon,ameba,-4
fujita-kairon,mediba,-4
fujita-kairon,line,
fujita-kairon,docomo,
fujita-kairon,softbank,
fujita-kairon,au,
gaia,rakuten,-3
gaia,excite,
gaia,ameba,-4
gaia,mediba,-4
gaia,line,
gaia,docomo,
gaia,softbank,
gaia,au,
gyoku,rakuten,-3
gyoku,excite,-3
gyoku,ameba,-4
gyoku,mediba,-4
gyoku,line,
gyoku,docomo,
gyoku,softbank,
gyoku,au,
hakuryu,rakuten,-3
hakuryu,excite,-3
hakuryu,ameba,-4
hakuryu,mediba,-4
hakuryu,line,
hakuryu,docomo,
hakuryu,softbank,
hakuryu,au,
hayuki,rakuten,-3
hayuki,excite,-3
hayuki,ameba,-4
hayuki,mediba,-4
hayuki,line,
hayuki,docomo,
hayuki,softbank,
hayuki,au,
hayuki-motoduka,rakuten,-3
hayuki-motoduka,excite,-3
hayuki-motoduka,ameba,-4
hayuki-motoduka,mediba,-4
hayuki-motoduka,line,
hayuki-motoduka,docomo,
hayuki-motoduka,softbank,
hayuki-motoduka,au,
hoshikaze,rakuten,-3
hoshikaze,excite,-3
hoshikaze,ameba,-4
hoshikaze,mediba,-4
hoshikaze,line,
hoshikaze,docomo,
hoshikaze,softbank,
hoshikaze,au,
ichild,rakuten,-3
ichild,excite,-3
ichild,ameba,-4
ichild,mediba,-4
ichild,line,
ichild,docomo,
ichild,softbank,
ichild,au,
ikai,rakuten,-3
ikai,excite,-3
ikai,ameba,-4
ikai,mediba,-4
ikai,line,
ikai,docomo,
ikai,softbank,
ikai,au,
ikai-kairon,rakuten,-3
ikai-kairon,excite,-3
ikai-kairon,ameba,-4
ikai-kairon,mediba,-4
ikai-kairon,line,
ikai-kairon,docomo,
ikai-kairon,softbank,
ikai-kairon,au,
jose,rakuten,-3
jose,excite,-3
jose,ameba,-4
jose,mediba,-4
jose,line,
jose,docomo,
jose,softbank,
jose,au,
jose-motoduka,rakuten,-3
jose-motoduka,excite,-3
jose-motoduka,ameba,-4
jose-motoduka,mediba,-4
jose-motoduka,line,
jose-motoduka,docomo,
jose-motoduka,softbank,
jose-motoduka,au,
kairi,rakuten,-3
kairi,excite,-3
kairi,ameba,-4
kairi,mediba,-4
kairi,line,
kairi,docomo,
kairi,softbank,
kairi,au,
kairi-motoduka,rakuten,-3
kairi-motoduka,excite,-3
kairi-motoduka,ameba,-4
kairi-motoduka,mediba,-4
kairi-motoduka,line,
kairi-motoduka,docomo,
kairi-motoduka,softbank,
kairi-motoduka,au,
kasya,rakuten,-3
kasya,excite,-3
kasya,ameba,-4
kasya,mediba,-4
kasya,line,
kasya,docomo,
kasya,softbank,
kasya,au,
keiko,rakuten,-3
keiko,excite,-3
keiko,ameba,-4
keiko,mediba,-4
keiko,line,
keiko,docomo,-4
keiko,softbank,-4
keiko,au,-4
keit,rakuten,-3
keit,excite,-3
keit,ameba,-4
keit,mediba,-4
keit,line,
keit,docomo,
keit,softbank,
keit,au,
keit-motoduka,rakuten,-3
keit-motoduka,excite,-3
keit-motoduka,ameba,-4
keit-motoduka,mediba,-4
keit-motoduka,line,
keit-motoduka,docomo,
keit-motoduka,softbank,
keit-motoduka,au,
kiko,rakuten,-3
kiko,excite,-3
kiko,ameba,-4
kiko,mediba,-4
kiko,line,
kiko,docomo,
kiko,softbank,
kiko,au,
kimyaku,rakuten,-3
kimyaku,excite,-3
kimyaku,ameba,-4
kimyaku,mediba,-4
kimyaku,line,
kimyaku,docomo,
kimyaku,softbank,
kimyaku,au,
kirei,rakuten,-3
kirei,excite,-3
kirei,ameba,-4
kirei,mediba,-4
kirei,line,
kirei,docomo,
kirei,softbank,
kirei,au,
klara,rakuten,-3
klara,excite,-3
klara,ameba,-4
klara,mediba,-4
klara,line,
klara,docomo,
klara,softbank,
klara,au,
kmo2,rakuten,-3
kmo2,excite,-3
kmo2,ameba,-4
kmo2,mediba,-4
kmo2,line,
kmo2,docomo,
kmo2,softbank,
kmo2,au,
koyanagi,rakuten,-3
koyanagi,excite,-3
koyanagi,ameba,-4
koyanagi,mediba,-4
koyanagi,line,
koyanagi,docomo,
koyanagi,softbank,
koyanagi,au,
koyanagi-kairon,rakuten,-3
koyanagi-kairon,excite,-3
koyanagi-kairon,ameba,-4
koyanagi-kairon,mediba,-4
koyanagi-kairon,line,
koyanagi-kairon,docomo,
koyanagi-kairon,softbank,
koyanagi-kairon,au,
lemurian,rakuten,-3
lemurian,excite,-3
lemurian,ameba,-4
lemurian,mediba,-4
lemurian,line,
lemurian,docomo,
lemurian,softbank,
lemurian,au,
lumiko,rakuten,-3
lumiko,excite,-3
lumiko,ameba,-4
lumiko,mediba,-4
lumiko,line,
lumiko,docomo,
lumiko,softbank,
lumiko,au,
lumiko-kairon,rakuten,-3
lumiko-kairon,excite,-3
lumiko-kairon,ameba,-4
lumiko-kairon,mediba,-4
lumiko-kairon,line,
lumiko-kairon,docomo,
lumiko-kairon,softbank,
lumiko-kairon,au,
luna,rakuten,-3
luna,excite,-3
luna,ameba,-4
luna,mediba,-4
luna,line,
luna,docomo,
luna,softbank,
luna,au,
macalon,rakuten,-3
macalon,excite,-3
macalon,ameba,-4
macalon,mediba,-4
macalon,line,
macalon,docomo,
macalon,softbank,
macalon,au,
maril,rakuten,-3
maril,excite,-3
maril,ameba,-4
maril,mediba,-4
maril,line,
maril,docomo,
maril,softbank,
maril,au,
maril-motoduka,rakuten,-3
maril-motoduka,excite,-3
maril-motoduka,ameba,-4
maril-motoduka,mediba,-4
maril-motoduka,line,
maril-motoduka,docomo,
maril-motoduka,softbank,
maril-motoduka,au,
matsuyama,rakuten,-3
matsuyama,excite,-3
matsuyama,ameba,-4
matsuyama,mediba,-4
matsuyama,line,
matsuyama,docomo,
matsuyama,softbank,
matsuyama,au,
matsuyama-kairon,rakuten,-3
matsuyama-kairon,excite,-3
matsuyama-kairon,ameba,-4
matsuyama-kairon,mediba,-4
matsuyama-kairon,line,
matsuyama-kairon,docomo,
matsuyama-kairon,softbank,
matsuyama-kairon,au,
merisa,rakuten,-3
merisa,excite,-3
merisa,ameba,-4
merisa,mediba,-4
merisa,line,
merisa,docomo,
merisa,softbank,
merisa,au,
mermaid,rakuten,-3
mermaid,excite,-3
mermaid,ameba,-4
mermaid,mediba,-4
mermaid,line,
mermaid,docomo,
mermaid,softbank,
mermaid,au,
mermaid-count,rakuten,-3
mermaid-count,excite,-3
mermaid-count,ameba,-4
mermaid-count,mediba,-4
mermaid-count,line,
mermaid-count,docomo,
mermaid-count,softbank,
mermaid-count,au,
mian,rakuten,0
mian,excite,
mian,ameba,0
mian,mediba,0
mian,line,
mian,docomo,
mian,softbank,
mian,au,
miesha,rakuten,-3
miesha,excite,-3
miesha,ameba,-4
miesha,mediba,-4
miesha,line,
miesha,docomo,
miesha,softbank,
miesha,au,
mikomaria,rakuten,-3
mikomaria,excite,-3
mikomaria,ameba,-4
mikomaria,mediba,-4
mikomaria,line,
mikomaria,docomo,
mikomaria,softbank,
mikomaria,au,
mikomaria-motoduka,rakuten,-3
mikomaria-motoduka,excite,-3
mikomaria-motoduka,ameba,-4
mikomaria-motoduka,mediba,-4
mikomaria-motoduka,line,
mikomaria-motoduka,docomo,
mikomaria-motoduka,softbank,
mikomaria-motoduka,au,
miku,rakuten,-3
miku,excite,-3
miku,ameba,-4
miku,mediba,-4
miku,line,
miku,docomo,
miku,softbank,
miku,au,
miyoko-syufu,rakuten,-3
miyoko-syufu,excite,-3
miyoko-syufu,ameba,-4
miyoko-syufu,mediba,-4
miyoko-syufu,line,
miyoko-syufu,docomo,-4
miyoko-syufu,softbank,
miyoko-syufu,au,
miyoko-tirol,rakuten,-3
miyoko-tirol,excite,-3
miyoko-tirol,ameba,-4
miyoko-tirol,mediba,-4
miyoko-tirol,line,
miyoko-tirol,docomo,-4
miyoko-tirol,softbank,
miyoko-tirol,au,
mlo,rakuten,-3
mlo,excite,-3
mlo,ameba,-4
mlo,mediba,-4
mlo,line,
mlo,docomo,
mlo,softbank,
mlo,au,
mokuren,rakuten,-2
mokuren,excite,
mokuren,ameba,-2
mokuren,mediba,-2
mokuren,line,
mokuren,docomo,
mokuren,softbank,
mokuren,au,
narusawa,rakuten,-3
narusawa,excite,-3
narusawa,ameba,-4
narusawa,mediba,-4
narusawa,line,
narusawa,docomo,
narusawa,softbank,
narusawa,au,
niu,rakuten,-3
niu,excite,-3
niu,ameba,-4
niu,mediba,-4
niu,line,
niu,docomo,
niu,softbank,
niu,au,
niu-motoduka,rakuten,-3
niu-motoduka,excite,-3
niu-motoduka,ameba,-4
niu-motoduka,mediba,-4
niu-motoduka,line,
niu-motoduka,docomo,
niu-motoduka,softbank,
niu-motoduka,au,
noda,rakuten,-3
noda,excite,-3
noda,ameba,-4
noda,mediba,-4
noda,line,
noda,docomo,
noda,softbank,
noda,au,
noda-kairon,rakuten,-3
noda-kairon,excite,-3
noda-kairon,ameba,-4
noda-kairon,mediba,-4
noda-kairon,line,
noda-kairon,docomo,
noda-kairon,softbank,
noda-kairon,au,
okac,rakuten,-3
okac,excite,-3
okac,ameba,-4
okac,mediba,-4
okac,line,
okac,docomo,
okac,softbank,
okac,au,
ophelia,rakuten,-3
ophelia,excite,-3
ophelia,ameba,-4
ophelia,mediba,-4
ophelia,line,
ophelia,docomo,
ophelia,softbank,
ophelia,au,
pof,rakuten,-3
pof,excite,-3
pof,ameba,-4
pof,mediba,-4
pof,line,
pof,docomo,
pof,softbank,
pof,au,
reirin,rakuten,-3
reirin,excite,-3
reirin,ameba,-4
reirin,mediba,-4
reirin,line,
reirin,docomo,
reirin,softbank,
reirin,au,
reirin-motoduka,rakuten,-3
reirin-motoduka,excite,-3
reirin-motoduka,ameba,-4
reirin-motoduka,mediba,-4
reirin-motoduka,line,
reirin-motoduka,docomo,
reirin-motoduka,softbank,
reirin-motoduka,au,
renri,rakuten,-3
renri,excite,-3
renri,ameba,-4
renri,mediba,-4
renri,line,
renri,docomo,
renri,softbank,
renri,au,
renri-motozuka,rakuten,-3
renri-motozuka,excite,-3
renri-motozuka,ameba,-4
renri-motozuka,mediba,-4
renri-motozuka,line,
renri-motozuka,docomo,
renri-motozuka,softbank,
renri-motozuka,au,
rie,rakuten,-3
rie,excite,-3
rie,ameba,-4
rie,mediba,-4
rie,line,
rie,docomo,
rie,softbank,
rie,au,
risui,rakuten,-3
risui,excite,-3
risui,ameba,-4
risui,mediba,-4
risui,line,
risui,docomo,
risui,softbank,
risui,au,
sashat,rakuten,-2
sashat,excite,
sashat,ameba,-2
sashat,mediba,-2
sashat,line,
sashat,docomo,
sashat,softbank,
sashat,au,
shape,rakuten,-3
shape,excite,-3
shape,ameba,-4
shape,mediba,-4
shape,line,
shape,docomo,
shape,softbank,
shape,au,
shape-count,rakuten,-3
shape-count,excite,-3
shape-count,ameba,-4
shape-count,mediba,-4
shape-count,line,
shape-count,docomo,
shape-count,softbank,
shape-count,au,
shintaku,rakuten,-3
shintaku,excite,-3
shintaku,ameba,-4
shintaku,mediba,-4
shintaku,line,
shintaku,docomo,
shintaku,softbank,
shintaku,au,
shintaku-count,rakuten,-3
shintaku-count,excite,-3
shintaku-count,ameba,-4
shintaku-count,mediba,-4
shintaku-count,line,
shintaku-count,docomo,
shintaku-count,softbank,
shintaku-count,au,
shokita,rakuten,-3
shokita,excite,-3
shokita,ameba,-4
shokita,mediba,-4
shokita,line,
shokita,docomo,
shokita,softbank,
shokita,au,
sugano,rakuten,-3
sugano,excite,-3
sugano,ameba,-4
sugano,mediba,-4
sugano,line,
sugano,docomo,
sugano,softbank,
sugano,au,
syuki,rakuten,-3
syuki,excite,-3
syuki,ameba,-4
syuki,mediba,-4
syuki,line,
syuki,docomo,
syuki,softbank,
syuki,au,
syuki-motoduka,rakuten,-3
syuki-motoduka,excite,-3
syuki-motoduka,ameba,-4
syuki-motoduka,mediba,-4
syuki-motoduka,line,
syuki-motoduka,docomo,
syuki-motoduka,softbank,
syuki-motoduka,au,
takashima,rakuten,-3
takashima,excite,-3
takashima,ameba,-4
takashima,mediba,-4
takashima,line,
takashima,docomo,
takashima,softbank,
takashima,au,
tnoel,rakuten,-3
tnoel,excite,-3
tnoel,ameba,-4
tnoel,mediba,-4
tnoel,line,
tnoel,docomo,
tnoel,softbank,
tnoel,au,
tnoel-yeti,rakuten,-3
tnoel-yeti,excite,-3
tnoel-yeti,ameba,-4
tnoel-yeti,mediba,-4
tnoel-yeti,line,
tnoel-yeti,docomo,
tnoel-yeti,softbank,
tnoel-yeti,au,
tomoko,rakuten,-3
tomoko,excite,-3
tomoko,ameba,-4
tomoko,mediba,-4
tomoko,line,
tomoko,docomo,
tomoko,softbank,
tomoko,au,
tsukikage,rakuten,-3
tsukikage,excite,-3
tsukikage,ameba,-4
tsukikage,mediba,-4
tsukikage,line,
tsukikage,docomo,
tsukikage,softbank,
tsukikage,au,
tsukikage-motoduka,rakuten,-3
tsukikage-motoduka,excite,-3
tsukikage-motoduka,ameba,-4
tsukikage-motoduka,mediba,-4
tsukikage-motoduka,line,
tsukikage-motoduka,docomo,
tsukikage-motoduka,softbank,
tsukikage-motoduka,au,
yuki,rakuten,-3
yuki,excite,-3
yuki,ameba,-4
yuki,mediba,-4
yuki,line,
yuki,docomo,
yuki,softbank,
yuki,au,
yuki-osajima,rakuten,-3
yuki-osajima,excite,-3
yuki-osajima,ameba,-4
yuki-osajima,mediba,-4
yuki-osajima,line,
yuki-osajima,docomo,
yuki-osajima,softbank,
yuki-osajima,au,